model_tag,step_k,cond,gen_n_used,gen_n_listed,gen_sample_seed,same_domain,FID_same,KID_same_mean,KID_same_std,cross_domain,FID_cross,KID_cross_mean,KID_cross_std,kid_subset_size,kid_n_subsets
blend (diff_raw0.7+lowpass0.3),50,female,1000,1000,1001,female,54.29608442810883,0.0542513115757234,0.0011290268269755,male,181.90797426452764,0.2234359883979753,0.0025075246007593,1000,50
blend (diff_raw0.7+lowpass0.3),50,male,1000,1000,1001,male,56.65711259775438,0.0468358537277621,0.0010204420356104,female,148.23680034361865,0.1790025961478919,0.0021776076983416,1000,50
blend (diff_raw0.7+lowpass0.3),60,female,1000,1000,1001,female,65.2382411467309,0.066685732007081,0.0012968077123035,male,166.07927958397704,0.1922987492043844,0.0027965816331431,1000,50
blend (diff_raw0.7+lowpass0.3),60,male,1000,1000,1001,male,75.62573774502513,0.0633507704899715,0.0008264736547474,female,176.16632943706975,0.2074061125343651,0.0027067087642896,1000,50
blend (diff_raw0.7+lowpass0.3),70,female,1000,1000,1001,female,50.28691391490878,0.0510398954259729,0.0013320639865101,male,162.85766906370853,0.2013706892352783,0.0024419059273598,1000,50
blend (diff_raw0.7+lowpass0.3),70,male,1000,1000,1001,male,47.85581195926798,0.0363370436483507,0.0006337817819704,female,173.9535424642136,0.2185123591517024,0.0027568042395382,1000,50
blend (diff_raw0.7+lowpass0.3),80,female,1000,1000,1001,female,67.1065276999653,0.073394578319345,0.0016100722996052,male,208.37163345947775,0.26583802492063,0.0033499352295363,1000,50
blend (diff_raw0.7+lowpass0.3),80,male,1000,1000,1001,male,54.4121984945626,0.0399432740958466,0.000581484505038,female,165.00409079537124,0.1986863176495638,0.0024631048299419,1000,50
blend (diff_raw0.7+lowpass0.3),90,female,1000,1000,1001,female,52.829541063568826,0.0524935435281265,0.0014750582114144,male,160.58096970248832,0.1900957777015905,0.0020212479014839,1000,50
blend (diff_raw0.7+lowpass0.3),90,male,1000,1000,1001,male,47.97925731165799,0.0344483954162695,0.0006068624210802,female,177.02075556461756,0.2173323288149305,0.0028861974051424,1000,50
blend (diff0.3+lowpass0.7),50,female,1000,1000,1001,female,56.82241329909877,0.0599545759685655,0.001349953665176,male,184.284672330788,0.2300622613246889,0.0025299640429996,1000,50
blend (diff0.3+lowpass0.7),50,male,1000,1000,1001,male,55.37361761964192,0.0443968412976134,0.001032493849939,female,145.75029394676585,0.1732315121997134,0.0021549273966918,1000,50
blend (diff0.3+lowpass0.7),60,female,1000,1000,1001,female,58.29954148693605,0.0591394037427309,0.00131419665151,male,168.1965815717975,0.1997515074658686,0.0028404274314035,1000,50
blend (diff0.3+lowpass0.7),60,male,1000,1000,1001,male,82.90792251552298,0.0731956571869275,0.0011225761645639,female,177.47282905668936,0.2055446014187451,0.0027237759701007,1000,50
blend (diff0.3+lowpass0.7),70,female,1000,1000,1001,female,51.98213673742245,0.0522987934795755,0.0012668336482148,male,158.36057054090998,0.1912953326118283,0.0024064021974587,1000,50
blend (diff0.3+lowpass0.7),70,male,1000,1000,1001,male,56.534571137578496,0.0476534884019295,0.0009301225784626,female,176.5034303940019,0.2200080420831532,0.0027558009768187,1000,50
blend (diff0.3+lowpass0.7),80,female,1000,1000,1001,female,56.47158001577694,0.0610120885153323,0.0014623460267016,male,198.70924627596813,0.2570272928501631,0.003316800642254,1000,50
blend (diff0.3+lowpass0.7),80,male,1000,1000,1001,male,52.52807617001744,0.0391390248394451,0.0007755521347784,female,168.55250241983623,0.2007137249922585,0.0024966918754071,1000,50
blend (diff0.3+lowpass0.7),90,female,1000,1000,1001,female,60.57557757865007,0.0613276160185612,0.0015979197683286,male,152.61883030638944,0.1761034411556944,0.0020021761020005,1000,50
blend (diff0.3+lowpass0.7),90,male,1000,1000,1001,male,77.36197818806448,0.0670140528641508,0.0013704572354538,female,186.65833663425383,0.2193405227217917,0.0027513762458571,1000,50
